country,year,sex,age_group,suicides_no,population,suicides_ratio
Aruba,2006,female,35-54 years,2.0,18297.0,0.10900000000000001
Aruba,2006,female,5-14 years,0.0,7507.0,0.0
Aruba,2006,female,55-74 years,0.0,8553.0,0.0
Aruba,2006,female,75+ years,0.0,1772.0,0.0
Aruba,2006,male,15-24 years,0.0,6519.0,0.0
Aruba,2006,male,25-34 years,4.0,5994.0,0.6669999999999999
Aruba,2006,male,35-54 years,3.0,16086.0,0.186
Aruba,2006,male,5-14 years,0.0,7575.0,0.0
Aruba,2006,male,55-74 years,0.0,7316.0,0.0
Aruba,2006,male,75+ years,0.0,1225.0,0.0
Aruba,2007,female,15-24 years,0.0,6548.0,0.0
Aruba,2007,female,25-34 years,0.0,6847.0,0.0
Aruba,2007,female,35-54 years,0.0,18313.0,0.0
Aruba,2007,female,5-14 years,0.0,7391.0,0.0
Aruba,2007,female,55-74 years,1.0,8952.0,0.112
Aruba,2007,female,75+ years,0.0,1890.0,0.0
Aruba,2007,male,15-24 years,1.0,6440.0,0.155
Aruba,2007,male,25-34 years,2.0,5935.0,0.337
Aruba,2007,male,35-54 years,3.0,16040.0,0.187
Aruba,2007,male,5-14 years,0.0,7537.0,0.0
Aruba,2007,male,55-74 years,1.0,7641.0,0.131
Aruba,2007,male,75+ years,0.0,1280.0,0.0
Aruba,2008,female,15-24 years,0.0,6335.0,0.0
Aruba,2008,female,25-34 years,0.0,6757.0,0.0
Aruba,2008,female,35-54 years,1.0,18191.0,0.055
Aruba,2008,female,5-14 years,0.0,7269.0,0.0
Aruba,2008,female,55-74 years,0.0,9341.0,0.0
Aruba,2008,female,75+ years,0.0,2007.0,0.0
Aruba,2008,male,15-24 years,0.0,6385.0,0.0
Aruba,2008,male,25-34 years,1.0,5849.0,0.171
Aruba,2008,male,35-54 years,1.0,15912.0,0.063
Aruba,2008,male,5-14 years,0.0,7476.0,0.0
Aruba,2008,male,55-74 years,1.0,7959.0,0.126
Aruba,2008,male,75+ years,0.0,1333.0,0.0
Aruba,2009,female,15-24 years,0.0,6152.0,0.0
Aruba,2009,female,25-34 years,0.0,6646.0,0.0
Aruba,2009,female,35-54 years,0.0,18003.0,0.0
Aruba,2009,female,5-14 years,0.0,7178.0,0.0
Aruba,2009,female,55-74 years,0.0,9744.0,0.0
Aruba,2009,female,75+ years,0.0,2131.0,0.0
Aruba,2009,male,15-24 years,0.0,6380.0,0.0
Aruba,2009,male,25-34 years,1.0,5729.0,0.175
Aruba,2009,male,35-54 years,2.0,15734.0,0.127
Aruba,2009,male,5-14 years,0.0,7420.0,0.0
Aruba,2009,male,55-74 years,1.0,8291.0,0.121
Aruba,2009,male,75+ years,0.0,1387.0,0.0
Aruba,2010,female,15-24 years,0.0,6031.0,0.0
Aruba,2010,female,25-34 years,0.0,6488.0,0.0
Aruba,2010,female,35-54 years,0.0,17826.0,0.0
Aruba,2010,female,5-14 years,0.0,7148.0,0.0
Aruba,2010,female,55-74 years,1.0,10186.0,0.098
Aruba,2010,female,75+ years,0.0,2264.0,0.0
Aruba,2010,male,15-24 years,0.0,6437.0,0.0
Aruba,2010,male,25-34 years,0.0,5568.0,0.0
Aruba,2010,male,35-54 years,4.0,15543.0,0.257
Aruba,2010,male,5-14 years,0.0,7414.0,0.0
Aruba,2010,male,55-74 years,2.0,8660.0,0.231
Aruba,2010,male,75+ years,0.0,1441.0,0.0
Aruba,2011,female,15-24 years,0.0,6272.0,0.0
Aruba,2011,female,25-34 years,1.0,6264.0,0.16
Aruba,2011,female,35-54 years,0.0,17691.0,0.0
Aruba,2011,female,5-14 years,0.0,7064.0,0.0
Aruba,2011,female,55-74 years,1.0,10536.0,0.095
Aruba,2011,female,75+ years,0.0,2358.0,0.0
Aruba,2011,male,15-24 years,1.0,6706.0,0.149
Aruba,2011,male,25-34 years,0.0,5440.0,0.0
Aruba,2011,male,35-54 years,3.0,15388.0,0.195
Aruba,2011,male,5-14 years,0.0,7324.0,0.0
Aruba,2011,male,55-74 years,3.0,8940.0,0.33599999999999997
Aruba,2011,male,75+ years,0.0,1505.0,0.0
Aruba,2012,female,15-24 years,0.0,6557.0,0.0
Aruba,2012,female,25-34 years,2.0,6041.0,0.331
Aruba,2012,female,35-54 years,0.0,17588.0,0.0
Aruba,2012,female,5-14 years,0.0,7001.0,0.0
Aruba,2012,female,55-74 years,0.0,10931.0,0.0
Aruba,2012,female,75+ years,0.0,2463.0,0.0
Aruba,2012,male,15-24 years,0.0,6982.0,0.0
Aruba,2012,male,25-34 years,0.0,5340.0,0.0
Aruba,2012,male,35-54 years,1.0,15235.0,0.066
Aruba,2012,male,5-14 years,0.0,7258.0,0.0
Aruba,2012,male,55-74 years,0.0,9258.0,0.0
Aruba,2012,male,75+ years,0.0,1561.0,0.0
Aruba,2013,female,15-24 years,0.0,6854.0,0.0
Aruba,2013,female,25-34 years,0.0,5842.0,0.0
Aruba,2013,female,35-54 years,0.0,17489.0,0.0
Aruba,2013,female,5-14 years,0.0,6952.0,0.0
Aruba,2013,female,55-74 years,1.0,11371.0,0.088
Aruba,2013,female,75+ years,0.0,2575.0,0.0
Aruba,2013,male,15-24 years,0.0,7242.0,0.0
Aruba,2013,male,25-34 years,0.0,5281.0,0.0
Aruba,2013,male,35-54 years,1.0,15072.0,0.066
Aruba,2013,male,5-14 years,0.0,7205.0,0.0
Aruba,2013,male,55-74 years,0.0,9611.0,0.0
Aruba,2013,male,75+ years,0.0,1616.0,0.0
Aruba,2014,female,15-24 years,0.0,7109.0,0.0
Aruba,2014,female,25-34 years,0.0,5700.0,0.0
Aruba,2014,female,35-54 years,1.0,17341.0,0.058
Aruba,2014,female,5-14 years,0.0,6898.0,0.0
Aruba,2014,female,55-74 years,1.0,11851.0,0.08399999999999999
Aruba,2014,female,75+ years,0.0,2676.0,0.0
Aruba,2014,male,15-24 years,0.0,7451.0,0.0
Aruba,2014,male,25-34 years,2.0,5284.0,0.379
Aruba,2014,male,35-54 years,0.0,14874.0,0.0
Aruba,2014,male,5-14 years,0.0,7146.0,0.0
Aruba,2014,male,55-74 years,1.0,9996.0,0.1
Aruba,2014,male,75+ years,0.0,1662.0,0.0
Aruba,2015,female,15-24 years,1.0,7290.0,0.13699999999999998
Aruba,2015,female,25-34 years,0.0,5635.0,0.0
Aruba,2015,female,35-54 years,0.0,17119.0,0.0
Aruba,2015,female,5-14 years,1.0,6822.0,0.147
Aruba,2015,female,55-74 years,0.0,12359.0,0.0
Aruba,2015,female,75+ years,0.0,2764.0,0.0
Aruba,2015,male,15-24 years,2.0,7587.0,0.264
Aruba,2015,male,25-34 years,1.0,5358.0,0.187
Aruba,2015,male,35-54 years,3.0,14613.0,0.205
Aruba,2015,male,5-14 years,0.0,7066.0,0.0
