country,year,forest_area,adjusted_nni,inflation
Slovenia,2008,61.76,44056,5.65
South Africa,2008,14.42,247538,10.07
Spain,2008,36.6,1353872,4.08
Sri Lanka,2008,33.75,37208,22.56
Suriname,2008,98.13,2697,14.67
Sweden,2008,68.96,450832,3.44
Switzerland,2008,31.05,408496,2.43
Thailand,2008,38.87,229858,5.47
Trinidad and Tobago,2008,45.47,20710,12.03
Ukraine,2008,16.47,151015,25.23
United Arab Emirates,2008,4.45,264743,12.25
Uruguay,2008,9.48,26352,7.88
Armenia,2009,11.62,7921,3.41
Aruba,2009,2.33,2159,-2.14
Australia,2009,16.89,723506,1.77
Austria,2009,46.78,329533,0.51
Azerbaijan,2009,12.44,29805,1.46
Bahrain,2009,0.66,15503,2.8
Barbados,2009,14.65,3827,3.64
Belgium,2009,22.71,396222,-0.05
Belize,2009,61.3,972,-1.1
Brazil,2009,61.68,1435917,4.89
Brunei Darussalam,2009,72.43,8226,1.04
Bulgaria,2009,34.09,42878,2.75
Cabo Verde,2009,10.53,1446,0.99
Canada,2009,38.74,1108895,0.3
Chile,2009,22.37,130168,0.35
Colombia,2009,54.98,188129,4.2
Costa Rica,2009,56.2,27920,7.84
Croatia,2009,34.25,49853,2.38
Cyprus,2009,18.69,22789,0.33
Denmark,2009,14.63,262255,1.3
Ecuador,2009,52.74,49752,5.16
El Salvador,2009,30.57,15223,1.06
Estonia,2009,54.88,15554,-0.08
Fiji,2009,58.38,2605,3.13
Finland,2009,73.26,206734,-0.0
France,2009,29.78,2269270,0.09
Germany,2009,32.71,2838910,0.31
Greece,2009,30.04,270481,1.21
Guatemala,2009,35.19,31476,1.86
Guyana,2009,94.1,2814,2.95
Hungary,2009,22.47,101130,4.21
Ireland,2009,10.33,163399,-4.48
Italy,2009,30.31,1808103,0.77
Jamaica,2009,51.22,10459,9.59
Japan,2009,68.47,3984259,-1.35
Kazakhstan,2009,1.14,77663,7.32
Kuwait,2009,0.34,95800,4.61
Latvia,2009,53.98,22036,3.53
Lithuania,2009,34.38,32679,4.45
Luxembourg,2009,34.38,28427,0.37
Maldives,2009,2.73,1880,4.53
Mauritius,2009,19.09,7932,2.52
Mexico,2009,34.51,707462,5.3
Mongolia,2009,9.11,3520,7.62
Montenegro,2009,59.99,3746,3.47
Netherlands,2009,11.03,706612,1.19
New Zealand,2009,37.4,96231,2.12
Nicaragua,2009,35.81,7331,3.69
Norway,2009,33.14,298158,2.2
Oman,2009,0.01,27503,3.47
Panama,2009,58.37,24188,2.41
Paraguay,2009,50.12,18809,2.59
Poland,2009,30.37,373379,3.8
Qatar,2009,0.0,60790,-4.86
Romania,2009,28.25,141745,5.59
Russian Federation,2009,49.74,952753,11.65
Serbia,2009,30.73,37115,8.12
Seychelles,2009,73.26,698,31.75
Singapore,2009,25.24,153551,0.6
Slovenia,2009,61.83,39692,0.84
South Africa,2009,14.39,270884,7.22
Spain,2009,36.9,1241613,-0.29
Sri Lanka,2009,33.65,39095,3.46
Suriname,2009,98.1,3097,-0.13
Sweden,2009,68.94,369524,-0.49
Switzerland,2009,31.15,436784,-0.48
Thailand,2009,39.08,223797,-0.85
Trinidad and Tobago,2009,45.39,13289,6.98
Ukraine,2009,16.47,94170,15.88
United Arab Emirates,2009,4.46,216614,1.56
Uruguay,2009,9.69,27090,7.06
Armenia,2010,11.61,8399,8.18
Aruba,2010,2.33,2007,2.08
Australia,2010,16.86,885868,2.92
Austria,2010,46.82,325822,1.81
Azerbaijan,2010,12.49,35043,5.73
Bahrain,2010,0.68,17057,1.96
Barbados,2010,14.65,3943,5.82
Belgium,2010,22.78,395173,2.19
Belize,2010,61.0,948,0.92
Brazil,2010,61.21,1861236,5.04
Brunei Darussalam,2010,72.11,10274,0.36
Bulgaria,2010,34.42,41563,2.44
Cabo Verde,2010,10.6,1366,2.08
Canada,2010,38.74,1319189,1.78
Chile,2010,22.49,161407,1.41
Colombia,2010,54.81,227566,2.27
Costa Rica,2010,56.23,34264,5.66
